Timestamp,Номер команды,№,Вопрос,Ответ
3/8/2025 17:09:29,67,11,"Верно ли я понимаю, что в случае, когда программа участника отказывается добавлять ВМ, на следующем раунде тестирующая программа жюри учитывает это и на всех последующих раундах не включает эту конкретную ВМ в отправляемый программе участника список ВМ? Понятное дело, что кроме случаев, когда по условию происходит добавление (""add"" : { ... }) той же самой ВМ","Если ВМ не удалось разместить, эта ВМ на следующих раундах не появится.
Вообще никогда."
3/8/2025 17:09:32,64,12,"Как правильно считать утилизацию хоста?
И как наша программа получает и отдает данные? В терминале ей передают путь к файлу, где лежат данные для всех раундов или сразу текстом передают?","1. Под утилизацией ресурса понимается отношение суммарного использования ресурса размещёнными ВМ к полному количеству ресурса.
Под утилизацией хоста понимается наибольшее значение утилизации среди всех видов ресурсов (в этом кейсе их два: количество процессорных ядер и объём оперативной памяти в гигабайтах).
Уточнение добавлено сюда: https://gitlab.atp-fivt.org/it-purple-hack/tasks-public/-/tree/vkulesh/edits/MTS
2. Используются стандартные ввод и вывод. Это почти то же самое, что ""терминал"", но не совсем.
Очень грубо говоря, это аналогично следующему: ./run <input.txt | some-verification-program
Но это сильное упрощение. На самом деле, стандартный ввод не перенапрвлен из файла, а тоже подключён к проверяющей системе. Проверяющая программа подаёт на вход по одному документу за раунж и ждёт ответ. Только после получения и оценки ответа начинается следующий раунд.
"
3/8/2025 17:10:20,91,13,Подскажите пожалуйста ещё какое максимальное время на каждый из тестов?,"Ограничения производительности были удалены из задания организаторами.
Восстановлены здесь (см. конец документа): https://gitlab.atp-fivt.org/it-purple-hack/tasks-public/-/tree/vkulesh/edits/MTS
Количество раундов не определено и зависит скорее от доступного времени на проверку.
Ограничение по оперативной памяти от количества раундов не зависит, ограничение по процессорному времени пропорционально количеству раундов."
3/8/2025 17:13:23,91,14,Подскажите пожалуйста какое максимальное время на каждый раунд?,"Ограничения производительности были удалены из задания организаторами.
Восстановлены здесь (см. конец документа): https://gitlab.atp-fivt.org/it-purple-hack/tasks-public/-/tree/vkulesh/edits/MTS
Количество раундов не определено и зависит скорее от доступного времени на проверку.
Ограничение по оперативной памяти от количества раундов не зависит, ограничение по процессорному времени пропорционально количеству раундов."
3/8/2025 17:17:16,124,15,Влияет ли время выполнения алгоритма результат?,"Влияет. Очки начисляются только за те раунды, которые ваша программа успела обработать.
Ограничения производительности были удалены из задания организаторами.
Восстановлены здесь (см. конец документа): https://gitlab.atp-fivt.org/it-purple-hack/tasks-public/-/tree/vkulesh/edits/MTS
Количество раундов не определено и зависит скорее от доступного времени на проверку.
Ограничение по оперативной памяти от количества раундов не зависит, ограничение по процессорному времени пропорционально количеству раундов."
3/8/2025 17:41:37,74,16,"А как будет реализовано второй ввод? Я так понял что будет тот же ввод только с изменённым diff, если я не правильно понял поясните пожалуйста, заранее спасибо!","На каждом раунде схема документа одинакова. Это сделано специально, чтобы не переусложнять условие.
Список и характеристики хостов не меняются, список ВМ изменяется на одну ВМ за раунд (одна добавляется или одна удаляется).
""diff"" добавлен только для удобства отладки и ручной проверки (которая не планируется).
Список ВМ всегда полный и исчерпывающий"
3/8/2025 17:51:08,120,17,"Содержимое json файла на входе - в одну строку, а выводимое -> в ""человекочитаемом"" виде(с раскрытии скобками)?","Выводимое -- на ваше усмотрение, главное, чтобы это был синтаксически правильный JSON и он соответствовал схеме.
В проверяющей системе парсер достаточно продвинутый, он продолжает читать данные, пока не получит полный валидный документ.
Схемы JSON восстановлены здесь (были удалены организаторами): https://gitlab.atp-fivt.org/it-purple-hack/tasks-public/-/tree/vkulesh/edits/MTS"
3/8/2025 18:41:10,161,18,"Вопросы много задавали в чате, но:
1. Что такое нагрузка? Как учитываются CPU и RAM?
2. Что с формулой для баллов за нагрузку? Она явно сломана.
3. Будут ли какие-либо данные? Или какая-либо открытая проверяющая система, которая упоминается в условии.","1. Под утилизацией ресурса понимается отношение суммарного использования ресурса размещёнными ВМ к полному количеству ресурса.
Под утилизацией хоста понимается наибольшее значение утилизации среди всех видов ресурсов (в этом кейсе их два: количество процессорных ядер и объём оперативной памяти в гигабайтах).
Уточнение добавлено сюда: https://gitlab.atp-fivt.org/it-purple-hack/tasks-public/-/tree/vkulesh/edits/MTS
2. В опубликованной версии ошибка, допущенная при перепечатывании из кода в документацию.
Исправлено здесь: https://gitlab.atp-fivt.org/it-purple-hack/tasks-public/-/tree/vkulesh/edits/MTS
Ещё там добавлен график.
3. Открытой проверяющей системы не предусмотрено. Входные данные также не требуются, т.к. условия задачи достаточно, чтобы понять форматы входных и выходных данных.
Однако, пошли на встречу и добавили пример полных входных данных для целого прогона.
См. https://gitlab.atp-fivt.org/it-purple-hack/tasks-public/-/tree/vkulesh/edits/MTS"
3/8/2025 18:59:02,124,19,Имеется ли параметр diff в первом раунде ввода?,"""diff"" добавлен только для удобства отладки и ручной проверки (которая не планируется).
По постановке задачи, в первом раунде будет добавляться одна ВМ.
(Так как возможности удалить одну ВМ нет.)"
3/8/2025 19:04:42,124,20,Необходимо для каждого раунда ли сохранять отметки о невозможности о размещении и отметки миграции с прошлых раундов?,"Отметки относятся только к конкретному раунду, накапливать их нельзя.
Нельзя, потому что проверяющая система этого не ожидает и зачтёт как ошибку."
3/8/2025 19:42:05,124,21,"Может ли за один раунд изменять более 1 ВМ и может ли быть так, что в одном раунде неоюходимо добавить и убрать ВМы","Нет. В условии задачи явно сказано, что нет."
3/8/2025 21:42:45,49,22,"1. Как считать утилизацию
2. Можете поднять апи для тестирования или скинуть скрипт симляции тк не понятно нужно ли сохранять состояние и насколько жёсткие условия работы скрипта будут
3. скиньте пример с удалением вм для понимания ключа и содержания
","1. Под утилизацией ресурса понимается отношение суммарного использования ресурса размещёнными ВМ к полному количеству ресурса.
Под утилизацией хоста понимается наибольшее значение утилизации среди всех видов ресурсов (в этом кейсе их два: количество процессорных ядер и объём оперативной памяти в гигабайтах).
Уточнение добавлено сюда: https://gitlab.atp-fivt.org/it-purple-hack/tasks-public/-/tree/vkulesh/edits/MTS
2. Нет. Для выполнения задания и понимания всех форматов и технических условий достаточно условия.
К сожалению, некоторые пункты организаторы удалили при публикации.
Они восстановлены здесь: https://gitlab.atp-fivt.org/it-purple-hack/tasks-public/-/tree/vkulesh/edits/MTS
(Там также есть уточнения, появившиеся при обработке обратной связи.)
3. Схема документа на раунде с удалением идентична схеме документа на раунде с добавлением.
""diff"" добавлен только для удобства отладки и ручной проверки (которая не планируется)."
3/8/2025 21:44:01,215,23,"добрый, хочу подробнее узнать процесс проверки или пример","Слишком общий вопрос.
Ознакомьтесь с исправленной и дополненной версией здесь: https://gitlab.atp-fivt.org/it-purple-hack/tasks-public/-/tree/vkulesh/edits/MTS"
3/8/2025 21:46:48,79,24,Как высчитывается общая нагрузка? Как среднее от нагрузок CPU и RAM? Как (usedCpu + usedRam) / (maxCpu + maxRam)? Как-то по-другому?,"Под утилизацией ресурса понимается отношение суммарного использования ресурса размещёнными ВМ к полному количеству ресурса.
Под утилизацией хоста понимается наибольшее значение утилизации среди всех видов ресурсов (в этом кейсе их два: количество процессорных ядер и объём оперативной памяти в гигабайтах).
Уточнение добавлено сюда: https://gitlab.atp-fivt.org/it-purple-hack/tasks-public/-/tree/vkulesh/edits/MTS"
3/8/2025 21:55:51,79,25,Можно ли использовать не Java или Python?,"Можно. Java и Python упоминаются только по одной причине: у проверяющих есть готовая инфраструктура, так что вам необязательно заниматься упаковкой решения в образ контейнера. Однако, образ контейнера -- предпочтителное оформление."
3/8/2025 21:57:23,79,26,"«Если хост имел нулевую утилизацию в течение 5 и более раундов подряд И на хосте ранее уже размещались ВМ», т. е. если на хосте раньше не было алоцировано ни одной vm (например, в самом начале), то раунды простоя тикать не начинают?","Да. В начале игры ""раунды простоя"" для ни разу не использованных хостов тикать не начинают."
3/8/2025 21:59:40,63,27,Как считается % утилизации хоста?,"Под утилизацией ресурса понимается отношение суммарного использования ресурса размещёнными ВМ к полному количеству ресурса.
Под утилизацией хоста понимается наибольшее значение утилизации среди всех видов ресурсов (в этом кейсе их два: количество процессорных ядер и объём оперативной памяти в гигабайтах).
Уточнение добавлено сюда: https://gitlab.atp-fivt.org/it-purple-hack/tasks-public/-/tree/vkulesh/edits/MTS"
3/8/2025 22:53:28,79,28,В allocation_failures и migrations должны быть все метки или только за последний ход?,"""Отметки относятся только к конкретному раунду, накапливать их нельзя.
Нельзя, потому что проверяющая система этого не ожидает и зачтёт как ошибку."""
3/9/2025 12:13:56,63,29,"Тестировать наши решения будет случайно сгенерированная выборка, или реальная история запросов на размещение?","Случайно сгенерированная до начала всех тестов (так, чтобы все участники получили одинаковые последовательности).
Реальные запросы мы использовать не можем, так как коммерческая тайна"
3/9/2025 12:53:35,63,30,"В задании ни раз уточняется, что параметр diff: ""Для удобства ручной проверки"" Это значит, что в коде его использовать нельзя? Или все-таки можно строить алгоритм, опираясь на него?","Этот атрибут заполняется корректно. Но он избыточен и существует только для человекочитаемости.
Запретить использовать мы не можем, но за последствия не отвечаем."
3/9/2025 16:21:13,25,31,Что должно быть в итоге в репозитории? Только докер-образ или исходный код тоже? Можно ли загрузить докер образ в docker hub?,"Docker Hub: да, как вариант.
О коде проекта. Мы не успеем его вычитать.
Чтобы исключить предвзятость, оценивается только поведение программы во время исполнения.
Однако, лучшие команды будут допущены до защиты и там продемонстрировать код проекта уместно.
В конечном итоге, это остаётся на ваше усмотрение."
3/9/2025 18:42:05,63,32,"""Если хост имел нулевую утилизацию в течение 5 и более раундов подряд И на хосте ранее уже размещались ВМ —
за каждый такой раунд начисляется дополнительно по 8 баллов.""
Получается на 5-й раунд простоя мне начислится 5*8 = 40 баллов и дальше каждый раунд 8 баллов, пока хост остается пустым?",Да
3/9/2025 19:15:23,147,33,"Для чего необходима миграция? Она показывает возможные перемещения ВМ по хостам или что-то иное?
Нам кажется что формула неверная, при одних значениях она выдает отрицательные значения, при других - нелогичные... Хотелось бы получить разъяснения по баллам при значениях Утилизации выше 80% и ниже 80% (в каких случаях мы все еще можем получить 10 баллов)
Что такое $schema?
Обязательно ли использовать все хосты, если есть возможность нагрузить один хост до ~80% и не использовать другой","Для чего миграция в реальном мире -- объяснял Александр на презентации.
Для чего миграция в выходном документе -- чтобы проверяющая система могла отличить осознанное решение смигрировать ВМ от ошибки или попытки читерства.

О формуле.
В опубликованной версии ошибка, допущенная при перепечатывании из кода в документацию.
Исправлено здесь: https://gitlab.atp-fivt.org/it-purple-hack/tasks-public/-/tree/vkulesh/edits/MTS
Ещё там добавлен график.

$schema -- это ссылка на схему, которую удалили при публикации организаторы.
Восстановлено здесь: https://gitlab.atp-fivt.org/it-purple-hack/tasks-public/-/tree/vkulesh/edits/MTS

Какие хосты использовать -- это на ваше усмотрение"
3/9/2025 19:29:37,79,34,"Может ли прийти запрос на снятие vm, если она не была поставлена?",Нет.
3/9/2025 20:32:52,79,35,"Можно ли мигрировать vm в тот же ход, в который она была добавлена?","В текущей реализации проверяющей системы это будет ошибкой.
Сначала производится учёт миграций, а потом проверка, что новая ВМ корректно добавлена.
При учёте миграций будет ошибка, так как ВМ пока ещё не существует.
В реальном мире это лишено смысла -- потому что можно сразу разместить в окончательном (для данного раунда) месте.
По очкам это тоже лишено смысла -- потому что за миграцию есть какой-то штраф."
,,36,"Я правильно понимаю, алгоритм должен запоминать как он распределял вм? То есть он не начинает каждый раз с самого нуля","Да. Алгоритм и проверяющая система на каждом раунде обмениваются своими картинами мира.
Оба помнят, что было на предыдущем раунде."
,,37,"Машина это 2 параметра (RAM, CPU). Как определяет нагрузка машины? Как среднее между нагрузками по каждому из параметров?","Под утилизацией ресурса понимается отношение суммарного использования ресурса размещёнными ВМ к полному количеству ресурса.
Под утилизацией хоста понимается наибольшее значение утилизации среди всех видов ресурсов (в этом кейсе их два: количество процессорных ядер и объём оперативной памяти в гигабайтах).
Уточнение добавлено сюда: https://gitlab.atp-fivt.org/it-purple-hack/tasks-public/-/tree/vkulesh/edits/MTS"
,,38,"По тз так и не ясно что требуется, сделать ручку которая на вход получает джсон и выдает джсон, или же функцию, которая из терминала получает строкой этот джсон?

Судя по : на стандартный ввод документы в формате JSON, предполагаю что должна быть ручка которая принимает json файл. Так ли это?","На стандартный ввод подаются документы в формате JSON, по одному за раунд.
Не файл, а байты в потоке стандартного ввода.
Чтобы упростить поиск конца документа, между ними добавляются переносы строки.
Сами же документы в компактной форме без переносов строк.
Так сделано, потому что далеко не каждая библиотека для парсинга JSON умеет понимать, что в потоке данных закончился JSON и что дальше читать из потока уже не нужно."
,,39,"Добрый день, такой вопрос: Тестировать наши решения будет случайно сгенерированная выборка, или реальная история запросов на размещение?","Случайно сгенерированная до начала всех тестов (так, чтобы все участники получили одинаковые последовательности).
Реальные запросы мы использовать не можем, так как коммерческая тайна"
,,40,"Добрый день, вопрос жесть наверн какой тупой, но я всё же задам. Как происходит заброс новых вмок в жсон файл? просто у меня тупо алгоритм хавает его и составляет уже вывод данных, но вот добавление в жсон приходится делать вручную, прописывая новые характеристики. Как это примерно будет, если не вручную и нужно ли делать отчет предыдущего раунда или нет?","Я не уверен, что понимаю вопросы.
Форматы входного и выходного документов описаны в задании.
""Вручную"" обрабатывать JSON не рекомендуется -- используйте библиотеки.
Какую структуру данных на вход принимает конкретная библиотека -- зависит от библиотеки.
""Заброс"" можно сделать в исходной структуре данных, а библиотека уже разберётся.
Повторять что-либо из предыдущего раунда не требуется, так как проверяющая система уже прошлый раунд проверила."
,,41,"Всем привет!
Вопрос касаемо ключа ""$schema"", что он означает и будет ли участвовать во входных данных ?","$schema -- это ссылка на схему, которую удалили при публикации организаторы.
Восстановлено здесь: https://gitlab.atp-fivt.org/it-purple-hack/tasks-public/-/tree/vkulesh/edits/MTS
С таким атрибутом ""кожаные мешки"" могут понять, куда нужно обратиться за дополнительной информацией.
Некоторые продвинутые редакторы или среды разработки по этому атрибуту умеют делать дополнительные проверки-инспекции, автодополнения, документационные подсказки и т.д.
В соответствии со схемами, применяющимися в этом кейсе, этот атрибут игнорируется."
,,42,"как программа должна запоминать размещение вмок по хостам, если входной формат данных этого не предусматривает?
хотелось бы узнать от кейсодержателей сценарий тестирования, чтобы все это не было додумками, спасибо","Программа не останавливается между раундами. Можно хранить ""картину мира"" в оперативной памяти.
При изначальной публикации, организаторы удалили часть информации по процедуре тестирования.
Полный текст см. здесь: https://gitlab.atp-fivt.org/it-purple-hack/tasks-public/-/tree/vkulesh/edits/MTS"
